Type,SKU,Name,Published,"Visibility in catalog","Regular price",Categories,"In stock?","Manage stock?","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global",Parent,"Meta: _spray_nova_color_hex","Meta: _spray_nova_color_code","Meta: _spray_nova_color_family"
variation,D020,DOPE Classic 400ml - D020 Pastel Orange,1,visible,4.50,"Sprays",1,0,Color,D020 Pastel Orange,1,0,DOPE-CLASSIC-400,#F0793F,D020,naranjas
variation,D021,DOPE Classic 400ml - D021 Orangine,1,visible,4.50,"Sprays",1,0,Color,D021 Orangine,1,0,DOPE-CLASSIC-400,#E7430E,D021,naranjas
variation,D023,DOPE Classic 400ml - D023 Pure Orange,1,visible,4.50,"Sprays",1,0,Color,D023 Pure Orange,1,0,DOPE-CLASSIC-400,#E8480E,D023,naranjas
variation,D022,DOPE Classic 400ml - D022 Reddish,1,visible,4.50,"Sprays",1,0,Color,D022 Reddish,1,0,DOPE-CLASSIC-400,#DF2F22,D022,rojos
variation,D031,DOPE Classic 400ml - D031 Bomba Red,1,visible,4.50,"Sprays",1,0,Color,D031 Bomba Red,1,0,DOPE-CLASSIC-400,#DA1715,D031,rojos
variation,D030,DOPE Classic 400ml - D030 Signal Red,1,visible,4.50,"Sprays",1,0,Color,D030 Signal Red,1,0,DOPE-CLASSIC-400,#AC251F,D030,rojos
variation,D032,DOPE Classic 400ml - D032 Vine,1,visible,4.50,"Sprays",1,0,Color,D032 Vine,1,0,DOPE-CLASSIC-400,#A51A2D,D032,rojos
variation,D024,DOPE Classic 400ml - D024 Tropical Peach,1,visible,4.50,"Sprays",1,0,Color,D024 Tropical Peach,1,0,DOPE-CLASSIC-400,#F28B6C,D024,naranjas
variation,D034,DOPE Classic 400ml - D034 Raspberry,1,visible,4.50,"Sprays",1,0,Color,D034 Raspberry,1,0,DOPE-CLASSIC-400,#E72540,D034,rojos
variation,D033,DOPE Classic 400ml - D033 Lipstick Red,1,visible,4.50,"Sprays",1,0,Color,D033 Lipstick Red,1,0,DOPE-CLASSIC-400,#CC1321,D033,rojos
variation,D040,DOPE Classic 400ml - D040 Shock Pink,1,visible,4.50,"Sprays",1,0,Color,D040 Shock Pink,1,0,DOPE-CLASSIC-400,#F2A5C7,D040,rosas
variation,D041,DOPE Classic 400ml - D041 Fuchsia,1,visible,4.50,"Sprays",1,0,Color,D041 Fuchsia,1,0,DOPE-CLASSIC-400,#E23473,D041,rosas
variation,D042,DOPE Classic 400ml - D042 Magenta,1,visible,4.50,"Sprays",1,0,Color,D042 Magenta,1,0,DOPE-CLASSIC-400,#D10469,D042,rosas
variation,D055,DOPE Classic 400ml - D055 Cardinal,1,visible,4.50,"Sprays",1,0,Color,D055 Cardinal,1,0,DOPE-CLASSIC-400,#B03A8E,D055,morados
variation,D053,DOPE Classic 400ml - D053 Purple,1,visible,4.50,"Sprays",1,0,Color,D053 Purple,1,0,DOPE-CLASSIC-400,#9E1A80,D053,morados
variation,D050,DOPE Classic 400ml - D050 Viola,1,visible,4.50,"Sprays",1,0,Color,D050 Viola,1,0,DOPE-CLASSIC-400,#CCB0D6,D050,morados
variation,D054,DOPE Classic 400ml - D054 Blue Violett,1,visible,4.50,"Sprays",1,0,Color,D054 Blue Violett,1,0,DOPE-CLASSIC-400,#8D62A7,D054,morados
variation,D051,DOPE Classic 400ml - D051 Violett,1,visible,4.50,"Sprays",1,0,Color,D051 Violett,1,0,DOPE-CLASSIC-400,#744394,D051,morados
variation,D052,DOPE Classic 400ml - D052 Midnight Violett,1,visible,4.50,"Sprays",1,0,Color,D052 Midnight Violett,1,0,DOPE-CLASSIC-400,#512967,D052,morados
variation,D061,DOPE Classic 400ml - D061 Tahitian Blue,1,visible,4.50,"Sprays",1,0,Color,D061 Tahitian Blue,1,0,DOPE-CLASSIC-400,#64C7E7,D061,azules
variation,D060,DOPE Classic 400ml - D060 Baby Blue,1,visible,4.50,"Sprays",1,0,Color,D060 Baby Blue,1,0,DOPE-CLASSIC-400,#00A3DE,D060,azules
variation,D062,DOPE Classic 400ml - D062 Light Blue,1,visible,4.50,"Sprays",1,0,Color,D062 Light Blue,1,0,DOPE-CLASSIC-400,#00589F,D062,azules
variation,D063,DOPE Classic 400ml - D063 Sky Blue,1,visible,4.50,"Sprays",1,0,Color,D063 Sky Blue,1,0,DOPE-CLASSIC-400,#0570A8,D063,azules
variation,D067,DOPE Classic 400ml - D067 Shock Blue,1,visible,4.50,"Sprays",1,0,Color,D067 Shock Blue,1,0,DOPE-CLASSIC-400,#007CB4,D067,azules
variation,D064,DOPE Classic 400ml - D064 Royal Blue,1,visible,4.50,"Sprays",1,0,Color,D064 Royal Blue,1,0,DOPE-CLASSIC-400,#103B66,D064,azules
variation,D065,DOPE Classic 400ml - D065 Sapphire Blue,1,visible,4.50,"Sprays",1,0,Color,D065 Sapphire Blue,1,0,DOPE-CLASSIC-400,#162C51,D065,azules
variation,D066,DOPE Classic 400ml - D066 Cool Blue,1,visible,4.50,"Sprays",1,0,Color,D066 Cool Blue,1,0,DOPE-CLASSIC-400,#87A7D8,D066,azules
variation,D073,DOPE Classic 400ml - D073 Blue Atoll,1,visible,4.50,"Sprays",1,0,Color,D073 Blue Atoll,1,0,DOPE-CLASSIC-400,#009EC1,D073,azules
variation,D072,DOPE Classic 400ml - D072 Ice Aqua,1,visible,4.50,"Sprays",1,0,Color,D072 Ice Aqua,1,0,DOPE-CLASSIC-400,#00A4A6,D072,azules
variation,D074,DOPE Classic 400ml - D074 Teal,1,visible,4.50,"Sprays",1,0,Color,D074 Teal,1,0,DOPE-CLASSIC-400,#0084A3,D074,azules
variation,D075,DOPE Classic 400ml - D075 Storm,1,visible,4.50,"Sprays",1,0,Color,D075 Storm,1,0,DOPE-CLASSIC-400,#00728A,D075,azules
variation,D071,DOPE Classic 400ml - D071 Ocean,1,visible,4.50,"Sprays",1,0,Color,D071 Ocean,1,0,DOPE-CLASSIC-400,#016D60,D071,verdes
variation,D070,DOPE Classic 400ml - D070 Turquise,1,visible,4.50,"Sprays",1,0,Color,D070 Turquise,1,0,DOPE-CLASSIC-400,#009792,D070,azules
variation,D085,DOPE Classic 400ml - D085 Mint,1,visible,4.50,"Sprays",1,0,Color,D085 Mint,1,0,DOPE-CLASSIC-400,#5FBEB6,D085,verdes
variation,D080,DOPE Classic 400ml - D080 Pistachio,1,visible,4.50,"Sprays",1,0,Color,D080 Pistachio,1,0,DOPE-CLASSIC-400,#9EC417,D080,verdes
variation,D081,DOPE Classic 400ml - D081 Acid Green,1,visible,4.50,"Sprays",1,0,Color,D081 Acid Green,1,0,DOPE-CLASSIC-400,#4A8832,D081,verdes
variation,D082,DOPE Classic 400ml - D082 Grass,1,visible,4.50,"Sprays",1,0,Color,D082 Grass,1,0,DOPE-CLASSIC-400,#017337,D082,verdes
variation,D084,DOPE Classic 400ml - D084 Deep Green,1,visible,4.50,"Sprays",1,0,Color,D084 Deep Green,1,0,DOPE-CLASSIC-400,#007042,D084,verdes
variation,D083,DOPE Classic 400ml - D083 Forest,1,visible,4.50,"Sprays",1,0,Color,D083 Forest,1,0,DOPE-CLASSIC-400,#1F5730,D083,verdes
variation,D086,DOPE Classic 400ml - D086 Frog Green,1,visible,4.50,"Sprays",1,0,Color,D086 Frog Green,1,0,DOPE-CLASSIC-400,#BABD0E,D086,verdes
variation,D087,DOPE Classic 400ml - D087 Olive,1,visible,4.50,"Sprays",1,0,Color,D087 Olive,1,0,DOPE-CLASSIC-400,#9E981E,D087,verdes
variation,D100,DOPE Classic 400ml - D100 Cocoa,1,visible,4.50,"Sprays",1,0,Color,D100 Cocoa,1,0,DOPE-CLASSIC-400,#E0B990,D100,marrones
variation,D104,DOPE Classic 400ml - D104 Cappuccino,1,visible,4.50,"Sprays",1,0,Color,D104 Cappuccino,1,0,DOPE-CLASSIC-400,#D4AE8A,D104,marrones
variation,D101,DOPE Classic 400ml - D101 Walnut,1,visible,4.50,"Sprays",1,0,Color,D101 Walnut,1,0,DOPE-CLASSIC-400,#9E6031,D101,marrones
variation,D102,DOPE Classic 400ml - D102 Kupa,1,visible,4.50,"Sprays",1,0,Color,D102 Kupa,1,0,DOPE-CLASSIC-400,#6E3E2A,D102,marrones
variation,D103,DOPE Classic 400ml - D103 Chocolate,1,visible,4.50,"Sprays",1,0,Color,D103 Chocolate,1,0,DOPE-CLASSIC-400,#5A352D,D103,marrones
variation,D090,DOPE Classic 400ml - D090 Neutral,1,visible,4.50,"Sprays",1,0,Color,D090 Neutral,1,0,DOPE-CLASSIC-400,#CCCDD1,D090,grises
variation,D091,DOPE Classic 400ml - D091 Mouse,1,visible,4.50,"Sprays",1,0,Color,D091 Mouse,1,0,DOPE-CLASSIC-400,#82898F,D091,grises
variation,D092,DOPE Classic 400ml - D092 Steel,1,visible,4.50,"Sprays",1,0,Color,D092 Steel,1,0,DOPE-CLASSIC-400,#535C5B,D092,grises
variation,D093,DOPE Classic 400ml - D093 Antracite,1,visible,4.50,"Sprays",1,0,Color,D093 Antracite,1,0,DOPE-CLASSIC-400,#38414A,D093,grises
variation,D300,DOPE Classic 400ml - D300 Black,1,visible,4.50,"Sprays",1,0,Color,D300 Black,1,0,DOPE-CLASSIC-400,#1C1C1C,D300,negros
variation,D400,DOPE Classic 400ml - D400 Silver Chrome,1,visible,4.50,"Sprays",1,0,Color,D400 Silver Chrome,1,0,DOPE-CLASSIC-400,#B0B0B0,D400,grises
variation,D500,DOPE Classic 400ml - D500 Gold Chrome,1,visible,4.50,"Sprays",1,0,Color,D500 Gold Chrome,1,0,DOPE-CLASSIC-400,#BF9A5B,D500,amarillos
